0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250
28.361;28.367;28.378;28.351;28.327;28.287;28.243;28.213;28.177;28.145;28.111;28.075;28.044;28.012;27.981;27.956;27.903;27.87;27.866;27.853;27.828;27.807;27.785;27.76;27.73;27.714;27.71;27.72;27.705;27.696;27.659;27.629;27.616;27.605;27.576;27.564;27.552;27.544;27.534;27.514;27.52;27.505;27.502;27.493;27.503;27.495;27.487;27.481;27.48;27.466;27.464;27.448;27.425;27.398;27.367;27.343;27.296;27.223;27.127;26.965;26.805;26.568;26.269;25.941;25.667;25.539;25.51;25.47;25.427;25.386;25.364;25.318;25.281;25.241;25.219;25.209;25.169;25.136;25.101;25.058;25.016;24.978;24.936;24.9;24.878;24.847;24.808;24.755;24.732;24.698;24.675;24.614;24.575;24.538;24.494;24.462;24.423;24.385;24.367;24.357;24.324;24.312;24.319;24.336;24.366;24.401;24.459;24.549;24.667;24.808;24.968;24.968;24.871;24.838;24.829;24.797;24.752;24.728;24.684;24.661;24.616;24.611;24.582;24.549;24.531;24.532;24.523;24.505;24.431;24.42;24.409;24.401;24.382;24.377;24.362;24.36;24.339;24.333;24.322;24.297;24.278;24.25;24.225;24.201;24.165;24.145;24.107;24.087;24.054;24.032;23.992;23.97;23.936;23.906;23.89;23.862;23.837;23.781;23.746;23.718;23.703;23.639;23.577;23.544;23.517;23.497;23.479;23.451;23.437;23.4;23.38;23.353;23.329;23.296;23.269;23.233;23.2;23.167;23.136;23.095;23.063;23.025;22.971;22.935;22.889;22.845;22.798;22.765;22.714;22.67;22.643;22.603;22.568;22.538;22.492;22.412;22.373;22.343;22.302;22.273;22.258;22.224;22.206;22.19;22.175;22.144;22.127;22.105;22.084;22.067;22.041;22.023;22.003;21.992;21.958;21.942;21.925;21.9;21.88;21.849;21.82;21.808;21.785;21.711;21.612;21.581;21.539;21.496;21.444;21.405;21.37;21.341;21.277;21.253;21.216;21.182;21.157;21.131;21.11;21.09;21.076;21.057;21.058;21.04;21.03;21.032;21.023;21.027;21.03;21.022;
28.577;28.502;28.454;28.417;28.39;28.358;28.313;28.277;28.257;28.224;28.204;28.179;28.166;28.152;28.112;28.098;28.091;28.084;28.072;28.068;28.028;27.988;27.973;27.957;27.94;27.917;27.901;27.898;27.869;27.851;27.837;27.804;27.801;27.786;27.764;27.748;27.732;27.727;27.7;27.693;27.659;27.662;27.638;27.634;27.623;27.64;27.626;27.625;27.616;27.597;27.61;27.61;27.599;27.569;27.52;27.434;27.362;27.274;27.164;27.011;26.817;26.58;26.271;25.947;25.687;25.622;25.57;25.533;25.497;25.458;25.433;25.387;25.345;25.31;25.278;25.251;25.219;25.177;25.151;25.128;25.101;25.046;25.026;24.993;24.958;24.938;24.878;24.835;24.791;24.775;24.739;24.7;24.649;24.632;24.595;24.558;24.524;24.503;24.481;24.481;24.475;24.478;24.481;24.451;24.373;24.389;24.403;24.447;24.52;24.592;24.685;24.812;24.9;24.813;24.827;24.841;24.809;24.78;24.727;24.69;24.68;24.672;24.642;24.544;24.521;24.517;24.511;24.497;24.491;24.5;24.488;24.487;24.466;24.459;24.453;24.439;24.417;24.401;24.389;24.36;24.329;24.297;24.276;24.238;24.217;24.185;24.163;24.13;24.094;24.077;24.039;23.987;23.909;23.861;23.831;23.798;23.753;23.708;23.675;23.642;23.615;23.577;23.564;23.536;23.523;23.501;23.474;23.466;23.427;23.42;23.394;23.371;23.337;23.319;23.283;23.255;23.228;23.202;23.168;23.147;23.119;23.058;23.038;23.002;22.968;22.891;22.815;22.776;22.732;22.687;22.645;22.603;22.558;22.52;22.493;22.466;22.413;22.388;22.362;22.338;22.288;22.268;22.246;22.225;22.21;22.183;22.164;22.148;22.128;22.105;22.097;22.077;22.062;22.047;22.027;21.988;21.963;21.948;21.886;21.804;21.777;21.737;21.708;21.661;21.609;21.574;21.534;21.501;21.453;21.42;21.377;21.336;21.309;21.287;21.247;21.223;21.206;21.194;21.171;21.173;21.182;21.186;21.2;21.214;21.249;21.303;21.364;21.415;21.454;21.478;
28.462;28.449;28.409;28.366;28.331;28.301;28.269;28.245;28.214;28.19;28.176;28.166;28.154;28.154;28.141;28.136;28.096;28.077;28.069;28.062;28.046;28.032;28.006;27.992;27.964;27.936;27.936;27.911;27.895;27.871;27.851;27.82;27.797;27.783;27.755;27.735;27.718;27.7;27.672;27.671;27.677;27.672;27.68;27.669;27.651;27.61;27.587;27.573;27.554;27.533;27.491;27.456;27.415;27.372;27.309;27.239;27.158;27.059;26.929;26.774;26.574;26.321;26.018;25.688;25.441;25.375;25.339;25.29;25.252;25.222;25.175;25.13;25.099;25.052;25.022;24.999;24.962;24.918;24.886;24.845;24.794;24.769;24.727;24.691;24.663;24.636;24.591;24.57;24.55;24.532;24.521;24.511;24.507;24.518;24.577;24.628;24.708;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.839;24.906;24.806;24.777;24.752;24.696;24.675;24.654;24.631;24.612;24.611;24.604;24.589;24.582;24.589;24.585;24.573;24.569;24.567;24.549;24.542;24.52;24.495;24.483;24.462;24.442;24.413;24.388;24.357;24.324;24.284;24.267;24.23;24.192;24.093;24.042;23.999;23.953;23.913;23.87;23.825;23.795;23.763;23.726;23.688;23.655;23.627;23.61;23.584;23.565;23.541;23.519;23.51;23.487;23.478;23.466;23.438;23.412;23.411;23.374;23.362;23.334;23.317;23.26;23.222;23.198;23.166;23.116;23.04;23.005;22.964;22.929;22.879;22.839;22.799;22.759;22.712;22.673;22.646;22.602;22.572;22.526;22.501;22.464;22.437;22.407;22.38;22.359;22.335;22.308;22.29;22.273;22.252;22.243;22.22;22.2;22.135;22.096;22.075;22.052;22.015;21.982;21.967;21.92;21.902;21.872;21.838;21.794;21.76;21.714;21.685;21.638;21.604;21.568;21.533;21.494;21.459;21.429;21.398;21.372;21.346;21.316;21.311;21.294;21.277;21.261;21.253;21.267;21.265;21.214;21.133;21.125;21.124;21.113;21.116;21.118;21.114;
28.477;28.458;28.406;28.37;28.353;28.312;28.269;28.246;28.226;28.212;28.197;28.176;28.155;28.153;28.144;28.129;28.117;28.108;28.092;28.084;28.06;28.055;28.031;28.005;27.985;27.968;27.935;27.909;27.887;27.858;27.841;27.821;27.795;27.789;27.752;27.751;27.752;27.727;27.723;27.7;27.666;27.649;27.63;27.617;27.597;27.577;27.551;27.53;27.5;27.46;27.425;27.386;27.333;27.274;27.195;27.121;27.036;26.917;26.769;26.603;26.395;26.141;25.853;25.573;25.367;25.326;25.276;25.231;25.196;25.16;25.124;25.073;25.032;24.989;24.952;24.917;24.888;24.844;24.813;24.779;24.743;24.704;24.666;24.648;24.631;24.607;24.576;24.555;24.548;24.532;24.481;24.5;24.525;24.568;24.64;24.736;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.868;24.828;24.76;24.745;24.728;24.72;24.692;24.679;24.677;24.66;24.651;24.656;24.662;24.636;24.628;24.634;24.626;24.622;24.605;24.595;24.587;24.567;24.544;24.501;24.45;24.419;24.389;24.349;24.274;24.241;24.196;24.148;24.115;24.057;24.015;23.968;23.924;23.896;23.848;23.801;23.773;23.731;23.7;23.673;23.641;23.623;23.604;23.592;23.567;23.565;23.548;23.547;23.532;23.516;23.505;23.507;23.478;23.388;23.357;23.322;23.289;23.265;23.228;23.198;23.166;23.129;23.093;23.039;23.015;22.962;22.935;22.891;22.848;22.806;22.775;22.736;22.704;22.658;22.63;22.602;22.572;22.532;22.503;22.48;22.466;22.434;22.41;22.386;22.369;22.349;22.289;22.231;22.216;22.189;22.161;22.135;22.11;22.084;22.054;22.028;22.004;21.972;21.941;21.915;21.87;21.846;21.81;21.783;21.74;21.702;21.671;21.648;21.614;21.585;21.556;21.53;21.5;21.483;21.448;21.398;21.359;21.336;21.314;21.286;21.232;21.224;21.208;21.193;21.188;21.177;21.161;21.159;21.145;21.151;21.146;21.144;
28.62;28.6;28.563;28.526;28.508;28.489;28.466;28.453;28.439;28.415;28.393;28.393;28.384;28.372;28.355;28.337;28.32;28.307;28.286;28.267;28.247;28.23;28.198;28.182;28.159;28.138;28.118;28.104;28.097;28.065;28.031;27.988;27.976;27.952;27.945;27.914;27.888;27.875;27.857;27.837;27.822;27.8;27.779;27.749;27.73;27.698;27.673;27.632;27.593;27.558;27.5;27.45;27.384;27.325;27.244;27.161;27.056;26.953;26.818;26.632;26.42;26.179;25.899;25.668;25.529;25.477;25.431;25.394;25.366;25.32;25.268;25.23;25.192;25.161;25.123;25.078;25.047;25.011;24.974;24.945;24.9;24.869;24.843;24.8;24.749;24.715;24.69;24.649;24.626;24.598;24.575;24.557;24.537;24.538;24.571;24.684;24.833;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.961;24.804;24.773;24.76;24.743;24.728;24.716;24.709;24.699;24.698;24.689;24.693;24.693;24.696;24.698;24.696;24.681;24.605;24.557;24.533;24.515;24.48;24.447;24.395;24.362;24.316;24.281;24.234;24.189;24.158;24.102;24.054;24.011;23.968;23.922;23.879;23.832;23.799;23.767;23.726;23.716;23.681;23.651;23.641;23.627;23.614;23.584;23.566;23.554;23.554;23.531;23.467;23.433;23.417;23.395;23.375;23.347;23.329;23.29;23.271;23.242;23.202;23.174;23.142;23.105;23.064;23.03;22.996;22.958;22.921;22.891;22.847;22.816;22.786;22.76;22.724;22.699;22.683;22.655;22.601;22.569;22.533;22.497;22.48;22.427;22.384;22.357;22.318;22.292;22.267;22.231;22.226;22.187;22.153;22.128;22.102;22.08;22.053;22.023;21.999;21.956;21.932;21.906;21.866;21.857;21.826;21.809;21.782;21.739;21.72;21.708;21.703;21.652;21.566;21.527;21.496;21.466;21.444;21.407;21.378;21.349;21.329;21.308;21.287;21.255;21.245;21.229;21.208;21.188;21.175;21.159;21.161;21.159;21.152;21.153;
28.766;28.75;28.725;28.704;28.682;28.668;28.646;28.622;28.616;28.585;28.571;28.558;28.539;28.509;28.496;28.479;28.454;28.434;28.419;28.378;28.373;28.373;28.368;28.357;28.333;28.281;28.215;28.187;28.149;28.122;28.103;28.08;28.055;28.037;28.015;28.0;27.987;27.958;27.94;27.924;27.907;27.883;27.856;27.832;27.804;27.767;27.734;27.714;27.672;27.631;27.583;27.538;27.511;27.468;27.367;27.263;27.169;27.101;26.989;26.732;26.452;26.197;25.939;25.714;25.615;25.589;25.551;25.519;25.474;25.435;25.399;25.356;25.317;25.29;25.244;25.207;25.184;25.164;25.128;25.085;25.044;25.0;24.962;24.931;24.906;24.877;24.85;24.822;24.796;24.791;24.78;24.777;24.784;24.792;24.802;24.821;24.871;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.942;24.994;24.88;24.821;24.806;24.798;24.778;24.779;24.765;24.757;24.759;24.754;24.728;24.671;24.653;24.626;24.608;24.581;24.563;24.525;24.496;24.463;24.428;24.394;24.345;24.319;24.268;24.23;24.189;24.14;24.095;24.051;24.009;23.966;23.923;23.892;23.857;23.819;23.801;23.776;23.758;23.72;23.666;23.639;23.633;23.612;23.564;23.535;23.523;23.494;23.482;23.46;23.43;23.407;23.382;23.356;23.331;23.308;23.283;23.258;23.221;23.186;23.165;23.132;23.093;23.055;23.042;22.995;22.977;22.946;22.908;22.879;22.862;22.827;22.794;22.741;22.695;22.665;22.643;22.612;22.573;22.535;22.51;22.47;22.447;22.419;22.38;22.354;22.323;22.289;22.27;22.231;22.196;22.189;22.157;22.124;22.104;22.074;22.06;22.036;22.017;21.995;21.994;21.957;21.932;21.937;21.936;21.892;21.732;21.696;21.671;21.649;21.618;21.601;21.568;21.534;21.511;21.484;21.453;21.433;21.421;21.386;21.367;21.342;21.319;21.297;21.294;21.257;21.241;21.223;21.216;21.205;21.205;21.193;21.182;
29.062;29.049;29.042;29.026;28.993;28.972;28.964;28.927;28.903;28.886;28.86;28.845;28.814;28.797;28.754;28.714;28.719;28.7;28.677;28.644;28.61;28.562;28.513;28.497;28.472;28.427;28.392;28.349;28.321;28.302;28.278;28.246;28.235;28.204;28.19;28.184;28.166;28.151;28.144;28.132;28.118;28.108;28.109;28.092;28.083;28.04;27.998;27.991;27.978;27.859;27.685;27.582;27.527;27.471;27.367;27.262;27.15;27.067;26.95;26.788;26.597;26.394;26.194;25.996;25.945;25.911;25.855;25.815;25.782;25.759;25.718;25.676;25.636;25.607;25.557;25.516;25.491;25.442;25.421;25.398;25.355;25.324;25.294;25.264;25.238;25.202;25.173;25.154;25.128;25.105;25.105;25.105;25.105;25.105;25.105;25.105;25.105;24.998;24.998;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.989;24.907;24.856;24.857;24.856;24.839;24.823;24.798;24.759;24.737;24.718;24.689;24.673;24.66;24.632;24.624;24.593;24.561;24.539;24.5;24.456;24.434;24.396;24.365;24.324;24.3;24.254;24.211;24.168;24.144;24.099;24.072;24.016;23.998;23.97;23.947;23.875;23.793;23.752;23.726;23.707;23.678;23.646;23.634;23.609;23.591;23.574;23.546;23.521;23.498;23.474;23.46;23.426;23.402;23.37;23.352;23.322;23.294;23.272;23.242;23.215;23.185;23.167;23.143;23.13;23.092;23.051;23.007;22.996;22.97;22.891;22.837;22.802;22.78;22.75;22.728;22.696;22.682;22.648;22.631;22.597;22.569;22.534;22.503;22.467;22.441;22.406;22.384;22.351;22.327;22.288;22.265;22.241;22.226;22.204;22.177;22.177;22.141;22.073;22.023;21.988;21.956;21.929;21.887;21.851;21.815;21.791;21.772;21.752;21.737;21.709;21.677;21.669;21.646;21.609;21.585;21.56;21.548;21.514;21.49;21.464;21.448;21.432;21.401;21.377;21.365;21.358;21.321;21.299;21.292;21.291;21.297;21.29;21.231;21.183;
29.172;29.156;29.142;29.123;29.106;29.077;29.081;29.079;29.055;29.034;29.009;28.954;28.91;28.878;28.849;28.808;28.767;28.745;28.704;28.665;28.631;28.605;28.558;28.524;28.493;28.467;28.437;28.419;28.387;28.36;28.339;28.311;28.306;28.299;28.281;28.263;28.245;28.231;28.231;28.213;28.178;28.121;28.102;28.073;28.03;27.946;27.88;27.823;27.771;27.709;27.647;27.582;27.513;27.435;27.37;27.29;27.196;27.11;27.001;26.876;26.731;26.556;26.378;26.19;26.134;26.108;26.056;26.002;25.972;25.929;25.889;25.831;25.798;25.76;25.713;25.673;25.637;25.585;25.554;25.529;25.491;25.45;25.424;25.418;25.394;25.387;25.344;25.31;25.292;25.294;25.294;25.294;25.294;25.294;25.294;25.294;25.294;24.954;24.933;24.926;24.894;24.87;24.887;24.929;24.929;24.929;24.929;24.929;24.929;24.929;24.929;24.929;24.929;24.929;24.929;24.929;24.929;24.944;24.871;24.845;24.831;24.808;24.795;24.776;24.747;24.727;24.708;24.681;24.647;24.62;24.605;24.568;24.538;24.506;24.48;24.452;24.425;24.382;24.354;24.329;24.293;24.269;24.214;24.176;24.152;24.132;24.07;23.968;23.928;23.907;23.867;23.829;23.79;23.761;23.735;23.718;23.695;23.672;23.655;23.645;23.614;23.593;23.554;23.534;23.513;23.489;23.456;23.424;23.395;23.362;23.346;23.316;23.294;23.278;23.269;23.209;23.163;23.136;23.104;23.079;23.027;22.98;22.939;22.923;22.882;22.857;22.824;22.796;22.778;22.754;22.723;22.705;22.692;22.665;22.643;22.609;22.577;22.541;22.513;22.491;22.46;22.443;22.413;22.393;22.367;22.35;22.348;22.33;22.278;22.171;22.124;22.095;22.062;22.024;21.979;21.972;21.925;21.903;21.878;21.862;21.833;21.82;21.796;21.775;21.759;21.736;21.733;21.708;21.685;21.657;21.643;21.62;21.592;21.574;21.554;21.537;21.521;21.474;21.428;21.407;21.39;21.373;21.315;21.223;21.208;21.167;21.145;21.144;21.13;21.136;
28.757;28.751;28.76;28.733;28.708;28.683;28.65;28.607;28.57;28.533;28.491;28.462;28.416;28.373;28.327;28.282;28.243;28.197;28.153;28.104;28.068;28.024;27.988;27.945;27.92;27.902;27.871;27.85;27.843;27.838;27.82;27.794;27.8;27.816;27.804;27.679;27.585;27.562;27.526;27.503;27.459;27.394;27.368;27.333;27.276;27.228;27.175;27.126;27.064;27.008;26.947;26.87;26.81;26.738;26.659;26.583;26.503;26.4;26.295;26.168;26.038;25.896;25.724;25.6;25.536;25.51;25.465;25.418;25.378;25.335;25.296;25.253;25.196;25.14;25.116;25.066;25.013;24.955;24.915;24.898;24.872;24.834;24.796;24.782;24.749;24.728;24.708;24.675;24.654;24.671;24.692;24.712;24.773;24.862;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.979;24.985;24.912;24.893;24.863;24.846;24.827;24.796;24.772;24.753;24.712;24.697;24.657;24.634;24.613;24.593;24.561;24.533;24.511;24.495;24.46;24.371;24.314;24.275;24.248;24.208;24.152;24.118;24.079;24.046;24.016;23.98;23.95;23.911;23.891;23.86;23.839;23.801;23.78;23.749;23.73;23.712;23.689;23.665;23.66;23.624;23.591;23.577;23.544;23.528;23.503;23.472;23.444;23.421;23.375;23.289;23.237;23.21;23.178;23.146;23.11;23.082;23.052;23.023;22.993;22.966;22.941;22.916;22.879;22.859;22.822;22.808;22.784;22.768;22.745;22.731;22.704;22.686;22.658;22.634;22.624;22.585;22.57;22.539;22.495;22.449;22.448;22.411;22.338;22.283;22.245;22.224;22.189;22.148;22.139;22.092;22.081;22.044;22.009;21.982;21.954;21.933;21.911;21.883;21.868;21.852;21.847;21.829;21.819;21.804;21.804;21.798;21.772;21.761;21.763;21.748;21.675;21.599;21.583;21.554;21.511;21.464;21.428;21.38;21.339;21.308;21.269;21.225;21.196;21.165;21.136;21.12;21.108;21.122;
29.202;29.181;29.159;29.128;29.092;29.06;29.026;28.987;28.942;28.909;28.855;28.806;28.76;28.71;28.67;28.613;28.567;28.523;28.484;28.444;28.404;28.36;28.338;28.315;28.3;28.273;28.222;28.191;28.201;28.2;28.112;27.981;27.958;27.937;27.909;27.884;27.869;27.844;27.823;27.784;27.753;27.727;27.686;27.644;27.595;27.556;27.506;27.448;27.403;27.352;27.294;27.247;27.167;27.119;27.044;26.956;26.872;26.794;26.702;26.585;26.444;26.319;26.173;26.069;26.027;25.984;25.926;25.874;25.829;25.8;25.774;25.714;25.659;25.612;25.585;25.532;25.491;25.443;25.401;25.372;25.331;25.298;25.25;25.187;25.171;25.161;25.098;25.059;25.042;25.016;25.016;24.924;24.877;24.843;24.814;24.803;24.764;24.739;24.765;24.792;24.834;24.903;24.903;24.903;24.903;24.903;24.903;24.903;24.903;24.903;24.903;24.903;24.903;24.903;24.903;24.812;24.791;24.823;24.82;24.798;24.749;24.724;24.705;24.672;24.649;24.626;24.608;24.57;24.54;24.521;24.493;24.465;24.385;24.315;24.284;24.238;24.205;24.179;24.142;24.107;24.065;24.047;24.013;23.993;23.964;23.927;23.9;23.866;23.838;23.817;23.776;23.755;23.721;23.704;23.673;23.659;23.632;23.622;23.605;23.583;23.561;23.535;23.519;23.491;23.476;23.437;23.333;23.278;23.229;23.204;23.163;23.134;23.101;23.06;23.037;22.994;22.974;22.94;22.919;22.894;22.853;22.849;22.81;22.788;22.763;22.739;22.718;22.695;22.677;22.682;22.658;22.646;22.642;22.628;22.576;22.499;22.458;22.429;22.398;22.357;22.316;22.287;22.253;22.227;22.193;22.165;22.135;22.104;22.074;22.04;22.01;21.988;21.961;21.938;21.898;21.877;21.872;21.844;21.81;21.804;21.791;21.786;21.771;21.76;21.741;21.737;21.733;21.696;21.618;21.598;21.567;21.558;21.518;21.485;21.446;21.41;21.362;21.333;21.287;21.247;21.199;21.159;21.109;21.072;21.034;20.985;20.965;20.942;20.935;20.931;
